feature,importance
1er lot_1989,0.0
1er lot_1935,0.0
1er lot_1928,0.0
1er lot_192,0.0
1er lot_1919,0.0
1er lot_1918,0.0
1er lot_191,0.0
1er lot_1880,0.0
1er lot_1210,0.0
1er lot_1208,0.0
1er lot_1207,0.0
1er lot_2025,0.0
1er lot_2024,0.0
1er lot_2022,0.0
1er lot_2020,0.0
1er lot_2019,0.0
1er lot_2018,0.0
1er lot_2015,0.0
1er lot_2014,0.0
1er lot_2010,0.0
1er lot_2009,0.0
1er lot_2002,0.0
1er lot_2001,0.0
1er lot_2064,0.0
1er lot_206,0.0
1er lot_2057,0.0
1er lot_2054,0.0
1er lot_2052,0.0
1er lot_2051,0.0
1er lot_205,0.0
1er lot_2045,0.0
1er lot_2040,0.0
1er lot_2039,0.0
1er lot_2031,0.0
1er lot_2030,0.0
1er lot_2029,0.0
1er lot_2026,0.0
1er lot_1191,0.0
1er lot_1189,0.0
1er lot_1185,0.0
1er lot_1183,0.0
1er lot_1180,0.0
1er lot_1178,0.0
1er lot_1176,0.0
1er lot_1175,0.0
1er lot_1173,0.0
1er lot_1172,0.0
1er lot_1171,0.0
1er lot_2074,0.0
1er lot_2072,0.0
1er lot_207,0.0
1er lot_2065,0.0
1er lot_2148,0.0
1er lot_2147,0.0
1er lot_2145,0.0
1er lot_214,0.0
1er lot_2129,0.0
1er lot_2123,0.0
1er lot_2120,0.0
1er lot_2119,0.0
1er lot_2110,0.0
1er lot_2106,0.0
1er lot_2102,0.0
1er lot_2079,0.0
1er lot_1192,0.0
1er lot_228,0.0
1er lot_227,0.0
1er lot_225,0.0
1er lot_2231,0.0
1er lot_221,0.0
1er lot_2203,0.0
1er lot_2201,0.0
1er lot_2198,0.0
1er lot_2188,0.0
1er lot_2171,0.0
1er lot_217,0.0
1er lot_2161,0.0
1er lot_1169,0.0
1er lot_1160,0.0
1er lot_1158,0.0
1er lot_1157,0.0
1er lot_1154,0.0
1er lot_1153,0.0
1er lot_11520,0.0
1er lot_1151,0.0
1er lot_1150,0.0
1er lot_1149,0.0
1er lot_1146,0.0
1er lot_2307,0.0
1er lot_2301,0.0
1er lot_2300,0.0
1er lot_2431,0.0
1er lot_2403,0.0
1er lot_240,0.0
1er lot_2396,0.0
1er lot_238,0.0
1er lot_237,0.0
1er lot_2347,0.0
1er lot_2343,0.0
1er lot_2308,0.0
1er lot_1170,0.0
1er lot_1137,0.0
1er lot_1136,0.0
1er lot_1135,0.0
1er lot_1132,0.0
1er lot_1130,0.0
1er lot_11299,0.0
1er lot_249,0.0
1er lot_2485,0.0
1er lot_246,0.0
1er lot_2437,0.0
1er lot_2605,0.0
1er lot_260,0.0
1er lot_2591,0.0
1er lot_258,0.0
1er lot_255,0.0
1er lot_2540,0.0
1er lot_250,0.0
1er lot_11454,0.0
1er lot_1145,0.0
1er lot_1142,0.0
1er lot_273,0.0
1er lot_272,0.0
1er lot_271,0.0
1er lot_268,0.0
1er lot_267,0.0
1er lot_266,0.0
1er lot_2638,0.0
1er lot_263,0.0
1er lot_2628,0.0
1er lot_2624,0.0
1er lot_293,0.0
1er lot_2893,0.0
1er lot_288,0.0
1er lot_287,0.0
1er lot_285,0.0
1er lot_284,0.0
1er lot_2831,0.0
1er lot_2819,0.0
